date,bdi_value,bdi_open,bdi_high,bdi_low,bdi_volume,bdi_change_pct,daily_change_pct,rolling_7d_avg,rolling_30d_avg,rolling_90d_avg,above_long_avg,is_spike,is_drop,is_outlier,year,month,quarter,weekday,source,data_type,granularity
2021-05-05,3266.0,3266.0,3266.0,3266.0,0.0,3.45,3.4526,3019.57,2445.63,1913.08,True,False,False,False,2021,5,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-05-06,3212.0,3212.0,3212.0,3212.0,0.0,-1.65,-1.6534,3077.29,2475.4,1934.04,True,False,False,False,2021,5,2,Thursday,investing_bdi_csv,freight_index,daily
2021-05-07,3183.0,3183.0,3183.0,3183.0,0.0,-0.9,-0.9029,3119.29,2505.8,1954.71,True,False,False,False,2021,5,2,Friday,investing_bdi_csv,freight_index,daily
2021-05-10,3240.0,3240.0,3240.0,3240.0,0.0,1.79,1.7908,3159.71,2540.67,1975.93,True,False,False,False,2021,5,2,Monday,investing_bdi_csv,freight_index,daily
2021-05-11,3254.0,3254.0,3254.0,3254.0,0.0,0.43,0.4321,3195.0,2576.73,1996.96,True,False,False,False,2021,5,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-05-12,3139.0,3139.0,3139.0,3139.0,0.0,-3.53,-3.5341,3207.29,2608.77,2016.66,True,False,False,False,2021,5,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-05-13,3077.0,3077.0,3077.0,3077.0,0.0,-1.98,-1.9752,3195.86,2639.27,2035.58,True,False,False,False,2021,5,2,Thursday,investing_bdi_csv,freight_index,daily
2021-05-14,2939.0,2939.0,2939.0,2939.0,0.0,-4.48,-4.4849,3149.14,2667.13,2052.48,True,False,False,False,2021,5,2,Friday,investing_bdi_csv,freight_index,daily
2021-05-17,2856.0,2856.0,2856.0,2856.0,0.0,-2.82,-2.8241,3098.29,2694.13,2068.38,True,False,False,False,2021,5,2,Monday,investing_bdi_csv,freight_index,daily
2021-05-18,2795.0,2795.0,2795.0,2795.0,0.0,-2.14,-2.1359,3042.86,2718.23,2083.34,True,False,False,False,2021,5,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-05-19,2801.0,2801.0,2801.0,2801.0,0.0,0.21,0.2147,2980.14,2741.87,2096.62,True,False,False,False,2021,5,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-05-20,2824.0,2824.0,2824.0,2824.0,0.0,0.82,0.8211,2918.71,2765.1,2108.43,True,False,False,False,2021,5,2,Thursday,investing_bdi_csv,freight_index,daily
2021-05-21,2869.0,2869.0,2869.0,2869.0,0.0,1.59,1.5935,2880.14,2791.13,2119.77,True,False,False,False,2021,5,2,Friday,investing_bdi_csv,freight_index,daily
2021-05-24,2881.0,2881.0,2881.0,2881.0,0.0,0.42,0.4183,2852.14,2817.67,2131.16,True,False,False,False,2021,5,2,Monday,investing_bdi_csv,freight_index,daily
2021-05-25,2809.0,2809.0,2809.0,2809.0,0.0,-2.5,-2.4991,2833.57,2839.8,2142.46,True,False,False,False,2021,5,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-05-26,2754.0,2754.0,2754.0,2754.0,0.0,-1.96,-1.958,2819.0,2860.27,2153.57,True,False,False,False,2021,5,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-05-27,2688.0,2688.0,2688.0,2688.0,0.0,-2.4,-2.3965,2803.71,2877.27,2164.1,True,False,False,False,2021,5,2,Thursday,investing_bdi_csv,freight_index,daily
2021-05-28,2596.0,2596.0,2596.0,2596.0,0.0,-3.42,-3.4226,2774.43,2886.37,2173.32,True,False,False,False,2021,5,2,Friday,investing_bdi_csv,freight_index,daily
2021-06-01,2568.0,2568.0,2568.0,2568.0,0.0,-1.08,-1.0786,2737.86,2892.47,2181.54,True,False,False,False,2021,6,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-06-02,2530.0,2530.0,2530.0,2530.0,0.0,-1.48,-1.4798,2689.43,2895.73,2189.24,True,False,False,False,2021,6,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-06-03,2472.0,2472.0,2472.0,2472.0,0.0,-2.29,-2.2925,2631.0,2895.73,2196.6,True,False,False,False,2021,6,2,Thursday,investing_bdi_csv,freight_index,daily
2021-06-04,2438.0,2438.0,2438.0,2438.0,0.0,-1.38,-1.3754,2578.0,2886.67,2204.08,True,False,False,False,2021,6,2,Friday,investing_bdi_csv,freight_index,daily
2021-06-07,2428.0,2428.0,2428.0,2428.0,0.0,-0.41,-0.4102,2531.43,2875.93,2212.62,True,False,False,False,2021,6,2,Monday,investing_bdi_csv,freight_index,daily
2021-06-08,2420.0,2420.0,2420.0,2420.0,0.0,-0.33,-0.3295,2493.14,2863.67,2222.4,True,False,False,False,2021,6,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-06-09,2481.0,2481.0,2481.0,2481.0,0.0,2.52,2.5207,2476.71,2852.77,2233.63,True,False,False,False,2021,6,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-06-10,2669.0,2669.0,2669.0,2669.0,0.0,7.58,7.5776,2491.14,2845.43,2247.16,True,True,False,False,2021,6,2,Thursday,investing_bdi_csv,freight_index,daily
2021-06-11,2857.0,2857.0,2857.0,2857.0,0.0,7.04,7.0438,2537.86,2842.1,2262.86,True,True,False,False,2021,6,2,Friday,investing_bdi_csv,freight_index,daily
2021-06-14,2944.0,2944.0,2944.0,2944.0,0.0,3.05,3.0452,2605.29,2840.0,2280.23,True,False,False,False,2021,6,2,Monday,investing_bdi_csv,freight_index,daily
2021-06-15,3025.0,3025.0,3025.0,3025.0,0.0,2.75,2.7514,2689.14,2839.07,2299.1,True,False,False,False,2021,6,2,Tuesday,investing_bdi_csv,freight_index,daily
