event_time_utc,capture_utc,message_type,mmsi,ship_name,imo,call_sign,latitude,longitude,sog_knots,speed_category,is_moving,cog_degrees,true_heading,navigational_status,nav_status_name,destination,eta,vessel_type,vessel_type_name,vessel_category,port_guess,source,data_type,granularity,year,month,day,hour
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,538010390,CX  GEMMA,9722338.0,V7A5980,1.25199,103.89066,,Unknown,False,,,,Not reported,SG SIN,"{'Day': 4, 'Hour': 3, 'Minute': 30, 'Month': 4}",70.0,Cargo vessel,Cargo,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,636018553,GSL ROSSI,9565338.0,D5QF7,1.19651,103.62275,,Unknown,False,,,,Not reported,MYPTP,"{'Day': 4, 'Hour': 22, 'Minute': 0, 'Month': 4}",71.0,Cargo vessel (hazmat A),Cargo,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,574005860,AULAC EAGLE,,,1.23392,103.79917,0.0,Stationary,False,165.0,304.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,259753000,SEAWAY OSPREY,,,1.25057,103.88082,0.0,Stationary,False,106.3,234.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StandardClassBPositionReport,525016710,DIJAYA 10,,,1.27031,103.85389,0.2,Stationary,False,360.0,511.0,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,565602000,PILOT GP49,,,1.2573,103.8417,0.2,Stationary,False,231.9,40.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,312871000,,,,1.26615,103.87953,5.1,Transit,True,242.3,511.0,15.0,Not defined,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,563152400,KOTA KARIM,9307425.0,9V7839,1.26218,103.83823,,Unknown,False,,,,Not reported,SGSIN_PEBG-A,"{'Day': 3, 'Hour': 23, 'Minute': 0, 'Month': 4}",70.0,Cargo vessel,Cargo,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,225372000,SESTAO KNUTSEN,,,1.17739,103.70171,0.0,Stationary,False,170.7,300.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,413142000,XIN HUANG PU,9310044.0,BPBP,1.26046,103.77923,,Unknown,False,,,,Not reported,MYTPT,"{'Day': 7, 'Hour': 0, 'Minute': 0, 'Month': 4}",71.0,Cargo vessel (hazmat A),Cargo,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,710023040,ANDRE REBOUCAS,,,1.13502,103.51503,6.9,Transit,True,121.0,121.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,566065000,GOLDEN ARANDA,,,1.29954,103.9521,0.0,Stationary,False,47.7,267.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,565893000,KOTA NAGA,,,1.22462,103.89197,4.1,Transit,True,338.6,300.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StaticDataReport,563040267,KM 33,,,1.26292,103.82857,,Unknown,False,,,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,566373000,CLEANSEAS HARMONY,,,1.20792,103.79132,0.0,Stationary,False,128.8,511.0,5.0,Moored,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,574383000,PETROLIMEX 12,,,1.23888,103.7663,0.0,Stationary,False,71.0,127.0,5.0,Moored,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,565523000,HANTEK 3,,,1.29284,103.74219,0.0,Stationary,False,13.7,114.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,352005622,THEA,,,1.2613,103.92207,0.1,Stationary,False,160.1,245.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,371233000,MSC PALOMA,,,1.19723,103.85178,7.3,Transit,True,245.7,247.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,AidsToNavigationReport,995636004,,,,1.30208,103.61575,,Unknown,False,,,,Not reported,,None,28.0,Vessel (anti-pollution),Other,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563217300,HAFNIA PRECISION,,,1.24405,103.9102,0.1,Stationary,False,126.2,246.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StandardClassBPositionReport,563021390,TRANSLUB,,,1.19973,103.74495,0.2,Stationary,False,0.0,511.0,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,636023817,CSPC TAURUS,,,1.29077,104.01305,0.0,Stationary,False,30.6,282.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
